Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
22,23.1,0,4.1,0,-6.2,0,12.3,0,-10.3,0,18.9,0,1.5,0,4.9,0,-48.5,0,-0.8,0,5.8,0,1,0,21.7,0,6.1,0,-2.4,0,12.9,0,-18.1,0,1.8,0,-16,0,-6.8,0,57.1,0,13.5,0,-3.4,0,-1.8,0,-2.1,0,-7.9,0,55.3,0,11.6,0,2,0,0.4,0,-1.3,0,4.5,0,17.8,0,4.3,0,3.5,0,-50.3,0,-7.2,0,0.1,0,6.9,0,3.7,0,-1.1,0,7,0,2.1,0,4.6,0
23,22.3,0,4.1,0,-6.8,0,12.7,0,-10,0,17.5,0,1.3,0,5.4,0,-48.5,0,-0.3,0,5.4,0,0.9,0,20.9,0,5.9,0,-2.4,0,13.2,0,-17.7,0,1.7,0,-16.1,0,-6.9,0,57.3,0,13.7,0,-3.2,0,-1.6,0,-1.9,0,-7.6,0,55.2,0,11.6,0,2.1,0,0.5,0,-1,0,4.8,0,16.6,0,4.2,0,3.6,0,-50.4,0,-6.7,0,-0.6,0,6.9,0,3.5,0,-1.6,0,6.9,0,1.8,0,4.4,0
24,21.4,0,4.1,0,-7.1,0,13.2,0,-9.8,0,16.1,0,1.1,0,5.7,0,-48.5,0,0.2,0,4.9,0,0.7,0,20.2,0,5.8,0,-2.2,0,13.4,0,-17.5,0,1.5,0,-16.3,0,-7,0,57.5,0,13.9,0,-3,0,-1.4,0,-1.6,0,-7.4,0,55.2,0,11.6,0,2.3,0,0.7,0,-0.8,0,5,0,15.5,0,4,0,3.6,0,-50.5,0,-6.2,0,-1.2,0,7,0,3.3,0,-2.1,0,6.8,0,1.5,0,4.1,0
25,20.7,0,4,0,-6.8,0,13.6,0,-9.9,0,14.8,0,0.9,0,5.8,0,-48.6,0,0.7,0,4.5,0,0.5,0,19.6,0,5.7,0,-2,0,13.7,0,-17.3,0,1.4,0,-16.4,0,-7,0,57.8,0,14.1,0,-2.9,0,-1.2,0,-1.3,0,-7.1,0,55.2,0,11.6,0,2.4,0,0.8,0,-0.5,0,5.3,0,14.5,0,3.8,0,3.7,0,-50.7,0,-5.8,0,-1.9,0,7,0,3.1,0,-2.5,0,6.8,0,1.2,0,3.9,0
26,20,0,4,0,-6.4,0,14.1,0,-10.2,0,13.4,0,0.6,0,5.9,0,-48.6,0,1.2,0,4,0,0.4,0,18.9,0,5.6,0,-1.9,0,14,0,-17.2,0,1.2,0,-16.5,0,-7.1,0,58,0,14.3,0,-2.7,0,-1.1,0,-1,0,-6.8,0,55.2,0,11.6,0,2.5,0,0.9,0,-0.2,0,5.6,0,13.4,0,3.6,0,3.9,0,-50.8,0,-5.3,0,-2.5,0,7,0,2.9,0,-2.9,0,6.7,0,0.9,0,3.7,0
27,19.3,0,4.1,0,-6.1,0,14.5,0,-10.4,0,12.1,0,0.4,0,6,0,-48.7,0,1.6,0,3.5,0,0.2,0,18.2,0,5.7,0,-1.9,0,14.3,0,-17.2,0,1.1,0,-16.7,0,-7.2,0,58.2,0,14.6,0,-2.5,0,-0.9,0,-0.8,0,-6.5,0,55.3,0,11.6,0,2.6,0,1,0,0.2,0,6,0,12.4,0,3.4,0,4.2,0,-51,0,-4.9,0,-3.1,0,7,0,2.7,0,-3.3,0,6.6,0,0.7,0,3.5,0
28,18.5,0,4.1,0,-6.1,0,15,0,-10.6,0,10.8,0,0.1,0,6.3,0,-48.9,0,2,0,2.9,0,0,0,17.5,0,5.8,0,-2,0,14.5,0,-17.1,0,0.9,0,-16.8,0,-7.3,0,58.5,0,14.8,0,-2.4,0,-0.7,0,-0.5,0,-6.3,0,55.4,0,11.7,0,2.8,0,1.1,0,0.5,0,6.3,0,11.3,0,3.2,0,4.6,0,-51.3,0,-4.6,0,-3.7,0,7.1,0,2.6,0,-3.6,0,6.5,0,0.4,0,3.2,0
29,17.8,0,4.2,0,-6.3,0,15.3,0,-10.6,0,9.5,0,-0.1,0,6.7,0,-49,0,2.4,0,2.4,0,-0.2,0,16.9,0,5.9,0,-2.2,0,14.8,0,-17.1,0,0.7,0,-17,0,-7.4,0,58.8,0,15.1,0,-2.2,0,-0.6,0,-0.3,0,-6,0,55.5,0,11.8,0,2.9,0,1.2,0,0.9,0,6.6,0,10.3,0,3,0,5,0,-51.5,0,-4.3,0,-4.2,0,7.1,0,2.5,0,-3.9,0,6.4,0,0.2,0,3,0
30,17,0,4.3,0,-6.7,0,15.6,0,-10.5,0,8.1,0,-0.3,0,7.2,0,-49.3,0,2.8,0,1.9,0,-0.3,0,16.2,0,6,0,-2.4,0,15.1,0,-17.2,0,0.5,0,-17.2,0,-7.5,0,59.1,0,15.4,0,-2.1,0,-0.5,0,0,0,-5.8,0,55.6,0,12,0,3,0,1.3,0,1.2,0,6.9,0,9.2,0,2.9,0,5.4,0,-51.8,0,-4,0,-4.6,0,7.1,0,2.5,0,-4.1,0,6.4,0,0,0,2.7,0
31,16.1,0,4.4,0,-7,0,15.9,0,-10.3,0,6.8,0,-0.6,0,7.5,0,-49.5,0,3.1,0,1.4,0,-0.4,0,15.5,0,6.1,0,-2.5,0,15.3,0,-17.3,0,0.3,0,-17.3,0,-7.6,0,59.4,0,15.7,0,-1.9,0,-0.3,0,0.2,0,-5.6,0,55.9,0,12.2,0,3.1,0,1.5,0,1.5,0,7.2,0,8.1,0,2.7,0,5.9,0,-52,0,-3.8,0,-4.9,0,7.1,0,2.4,0,-4.2,0,6.3,0,-0.2,0,2.5,0
