Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
25,19.6,0,3.8,0,-6.1,0,14,0,-8.9,0,12.7,0,-0.8,0,5.7,0,-51.3,0,1.9,0,4.4,0,1.2,0,25.2,0,4.3,0,-2.6,0,13.9,0,-17.7,0,0,0,-16.9,0,-5,0,65.4,0,21.8,0,-3.8,0,-2.1,0,5.3,0,-0.5,0,57.3,0,13.7,0,2.2,0,0.6,0,0.1,0,5.9,0,22.2,0,4,0,-4.5,0,-57.1,0,-6.8,0,-0.5,0,8.3,0,3,0,5.8,0,6,0,-0.2,0,4.3,0
26,18.6,0,3.8,0,-5.9,0,14.2,0,-8.8,0,11.4,0,-1,0,5.8,0,-51.3,0,2.2,0,3.8,0,1.1,0,24.3,0,4.3,0,-2.7,0,14.3,0,-17.8,0,0.2,0,-17,0,-5,0,65.7,0,22,0,-3.8,0,-2.1,0,5.4,0,-0.4,0,57.3,0,13.7,0,2.3,0,0.6,0,0.4,0,6.1,0,20.8,0,4.1,0,-3.8,0,-57.4,0,-6.5,0,-1.3,0,8.2,0,2.9,0,5,0,6,0,-0.3,0,3.9,0
27,17.7,0,3.9,0,-5.8,0,14.4,0,-8.7,0,10.1,0,-1.2,0,5.9,0,-51.3,0,2.5,0,3.2,0,1.1,0,23.3,0,4.3,0,-2.8,0,14.7,0,-17.9,0,0.3,0,-17.1,0,-5.1,0,65.9,0,22.2,0,-3.8,0,-2.2,0,5.5,0,-0.3,0,57.3,0,13.7,0,2.3,0,0.7,0,0.6,0,6.4,0,19.4,0,4.2,0,-3,0,-57.6,0,-6.3,0,-2.1,0,8.2,0,2.7,0,4.3,0,6,0,-0.5,0,3.6,0
28,16.7,0,4.1,0,-5.9,0,14.6,0,-8.5,0,8.8,0,-1.4,0,6.1,0,-51.3,0,2.7,0,2.7,0,1.1,0,22.3,0,4.4,0,-3.1,0,14.9,0,-17.8,0,0.2,0,-17.3,0,-5.1,0,66,0,22.4,0,-3.8,0,-2.2,0,5.6,0,-0.2,0,57.3,0,13.7,0,2.4,0,0.8,0,0.9,0,6.7,0,18,0,4.3,0,-2.2,0,-57.8,0,-6.1,0,-2.8,0,8.2,0,2.6,0,3.7,0,6,0,-0.6,0,3.3,0
29,15.8,0,4.2,0,-6.1,0,14.7,0,-8.4,0,7.6,0,-1.5,0,6.3,0,-51.2,0,2.9,0,2.1,0,1.1,0,21.3,0,4.4,0,-3.5,0,15,0,-17.6,0,-0.1,0,-17.6,0,-5.2,0,66.2,0,22.5,0,-3.8,0,-2.2,0,5.7,0,-0.1,0,57.2,0,13.6,0,2.4,0,0.8,0,1.1,0,6.9,0,16.6,0,4.4,0,-1.4,0,-57.9,0,-5.9,0,-3.5,0,8.1,0,2.5,0,3.1,0,6,0,-0.7,0,2.9,0
30,14.9,0,4.4,0,-6.4,0,14.8,0,-8.2,0,6.4,0,-1.7,0,6.7,0,-50.2,0,3,0,1.6,0,1.3,0,20.3,0,4.5,0,-4.1,0,15,0,-17.2,0,-0.4,0,-17.8,0,-5.3,0,66.3,0,22.7,0,-3.9,0,-2.2,0,5.7,0,-0.1,0,56.3,0,12.6,0,2.5,0,0.9,0,1.4,0,7.1,0,15.2,0,4.5,0,-0.6,0,-58.1,0,-5.8,0,-4.1,0,8,0,2.4,0,2.5,0,6,0,-0.7,0,2.6,0
31,14,0,4.6,0,-6.8,0,14.9,0,-8.1,0,5.2,0,-1.8,0,7,0,-48.1,0,3.1,0,1.1,0,1.5,0,19.3,0,4.6,0,-4.6,0,15.1,0,-16.9,0,-0.7,0,-18,0,-5.4,0,66.4,0,22.7,0,-3.9,0,-2.3,0,5.7,0,-0.1,0,54.1,0,10.5,0,2.5,0,0.9,0,1.6,0,7.3,0,13.8,0,4.5,0,0.2,0,-58.2,0,-5.7,0,-4.6,0,8,0,2.3,0,2,0,6,0,-0.7,0,2.3,0
32,13.1,0,4.8,0,-7.2,0,15,0,-7.9,0,4,0,-1.9,0,7.4,0,-45.9,0,3.2,0,0.5,0,1.7,0,18.4,0,4.7,0,-5,0,15.3,0,-16.7,0,-0.9,0,-18.2,0,-5.6,0,66.4,0,22.8,0,-3.9,0,-2.3,0,5.7,0,-0.1,0,51.9,0,8.3,0,2.6,0,1,0,1.8,0,7.5,0,12.4,0,4.4,0,0.8,0,-58.3,0,-5.6,0,-4.9,0,7.9,0,2.3,0,1.5,0,6,0,-0.7,0,2,0
33,12.3,0,5,0,-7.6,0,15.1,0,-7.7,0,2.8,0,-2,0,7.8,0,-44.3,0,3.3,0,0,0,1.8,0,17.6,0,4.8,0,-5.4,0,15.6,0,-16.5,0,-0.9,0,-18.3,0,-5.7,0,66.4,0,22.8,0,-4,0,-2.3,0,5.6,0,-0.2,0,50.3,0,6.6,0,2.6,0,1,0,2,0,7.7,0,11,0,4.4,0,1.3,0,-58.4,0,-5.5,0,-5.2,0,7.8,0,2.2,0,1.2,0,6,0,-0.7,0,1.6,0
34,11.5,0,5.2,0,-8,0,15.1,0,-7.4,0,1.6,0,-2.1,0,8.1,0,NaN,NaN,NaN,NaN,NaN,NaN,2,0,16.8,0,4.9,0,-5.6,0,16,0,-16.4,0,-0.8,0,-18.4,0,-5.8,0,66.4,0,22.7,0,-4,0,-2.4,0,5.6,0,-0.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5,0,4.3,0,1.7,0,-58.5,0,-5.5,0,-5.5,0,7.6,0,2.1,0,0.9,0,5.9,0,-0.6,0,1.2,0
35,10.8,0,5.3,0,-8.3,0,15,0,-7.1,0,0.3,0,-2.3,0,8.4,0,NaN,NaN,NaN,NaN,NaN,NaN,2.1,0,16,0,5.1,0,-5.9,0,16.4,0,-16.2,0,-0.5,0,-18.6,0,-5.9,0,66.2,0,22.6,0,-4,0,-2.4,0,5.5,0,-0.3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,0,4.2,0,2,0,-58.6,0,-5.4,0,-5.7,0,7.5,0,2.1,0,0.5,0,5.9,0,-0.6,0,0.8,0
36,10.2,0,5.5,0,-8.6,0,15,0,-6.7,0,-0.9,0,-2.4,0,8.5,0,NaN,NaN,NaN,NaN,NaN,NaN,2.3,0,15.3,0,5.2,0,-6.2,0,16.7,0,-15.9,0,-0.3,0,-18.9,0,-6,0,66,0,22.4,0,-4.1,0,-2.5,0,5.4,0,-0.3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5,0,4.1,0,2.1,0,-58.5,0,-5.5,0,-6,0,7.3,0,2.1,0,0.2,0,5.8,0,-0.5,0,0.4,0
37,9.7,0,5.6,0,-8.9,0,14.9,0,-6.3,0,-2,0,-2.6,0,8.6,0,NaN,NaN,NaN,NaN,NaN,NaN,2.6,0,14.7,0,5.3,0,-6.6,0,17,0,-15.5,0,-0.1,0,-19.2,0,-6.2,0,65.7,0,22.1,0,-4.1,0,-2.5,0,5.4,0,-0.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1,0,4,0,2.2,0,-58.5,0,-5.5,0,-6.3,0,7.1,0,2.1,0,-0.2,0,5.7,0,-0.5,0,-0.1,0
38,9.4,0,5.8,0,-9.1,0,14.9,0,-5.7,0,-3.2,0,-2.8,0,8.5,0,NaN,NaN,NaN,NaN,NaN,NaN,2.9,0,14.2,0,5.3,0,-7,0,17.2,0,-14.9,0,0,0,-19.5,0,-6.3,0,65.5,0,21.8,0,-4.1,0,-2.5,0,5.3,0,-0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7,0,3.9,0,2.2,0,-58.3,0,-5.5,0,-6.7,0,6.9,0,2.2,0,-0.7,0,5.5,0,-0.5,0,-0.5,0
39,9.3,0,5.9,0,-9.2,0,14.8,0,-5.1,0,-4.2,0,-3,0,8.3,0,NaN,NaN,NaN,NaN,NaN,NaN,3.3,0,13.7,0,5.4,0,-7.2,0,17.4,0,-14.4,0,0.2,0,-19.8,0,-6.4,0,65.2,0,21.5,0,-4.1,0,-2.5,0,5.2,0,-0.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3,0,3.9,0,2.2,0,-58.1,0,-5.6,0,-7.1,0,6.8,0,2.3,0,-1.2,0,5.3,0,-0.4,0,-1,0
40,9.4,0,6,0,-9.3,0,14.8,0,-4.5,0,-5.2,0,-3.1,0,7.9,0,NaN,NaN,NaN,NaN,NaN,NaN,3.8,0,13.5,0,5.4,0,-7.3,0,17.6,0,-13.9,0,0.5,0,-20.1,0,-6.6,0,64.9,0,21.3,0,-4.1,0,-2.5,0,5.1,0,-0.7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,0,3.8,0,2.1,0,-58,0,-5.6,0,-7.6,0,6.7,0,2.3,0,-1.8,0,5.1,0,-0.4,0,-1.4,0
41,9.7,0,6,0,-9.4,0,14.8,0,-3.9,0,-6.1,0,-3.3,0,7.5,0,NaN,NaN,NaN,NaN,NaN,NaN,4.2,0,13.4,0,5.4,0,-7.2,0,17.8,0,-13.4,0,0.7,0,-20.2,0,-6.8,0,64.7,0,21,0,-4.1,0,-2.5,0,5,0,-0.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1,0,3.6,0,2.1,0,-57.8,0,-5.6,0,-8.1,0,6.6,0,2.4,0,-2.4,0,5,0,-0.4,0,-1.8,0
42,10.2,0,6,0,-9.4,0,14.8,0,-3.3,0,-6.9,0,-3.5,0,7.1,0,NaN,NaN,NaN,NaN,NaN,NaN,4.7,0,13.4,0,5.4,0,-7.1,0,17.9,0,-13,0,0.9,0,-20.3,0,-6.9,0,64.5,0,20.8,0,-4.1,0,-2.5,0,4.8,0,-0.9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1,0,3.4,0,2.2,0,-57.7,0,-5.6,0,-8.6,0,6.5,0,2.5,0,-3.1,0,4.8,0,-0.4,0,-2.2,0
