Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
0,17,0,1.5,0,-11.3,0,2.7,0,0.7,0,38.4,0,-10.5,0,-8.3,0,-63.4,0,1.8,0,12.6,0,6.5,0,20.1,0,1.2,0,2,0,7.5,0,-10.1,0,3.3,0,-15.9,0,-12,0,74.2,0,30.6,0,-2.6,0,-1,0,-1.9,0,-7.7,0,73.4,0,29.8,0,0.9,0,-0.7,0,-3.4,0,2.4,0,38.5,0,-1.4,0,-10.5,0,-65.7,0,-4.5,0,2,0,8.6,0,1.5,0,0.8,0,9.6,0,-3,0,8.7,0
1,18.3,0,1.1,0,-9.9,0,2,0,-0.1,0,38.2,0,-10.3,0,-9.1,0,-63.2,0,1.6,0,12.7,0,5.7,0,21,0,1.1,0,2.3,0,6.5,0,-10.3,0,3.4,0,-16,0,-12.1,0,74.4,0,30.7,0,-2.7,0,-1.1,0,-2,0,-7.7,0,73.3,0,29.7,0,0.8,0,-0.8,0,-3.3,0,2.4,0,38.4,0,-1.3,0,-10.7,0,-65.8,0,-4.6,0,2,0,8.6,0,1.5,0,0.7,0,9.7,0,-3,0,8.9,0
2,19.5,0,0.8,0,-8.1,0,1.3,0,-1.7,0,38,0,-10,0,-9.5,0,-63.1,0,1.4,0,12.7,0,5.2,0,22.2,0,0.9,0,2.9,0,5.6,0,-11.1,0,3.6,0,-16,0,-12.3,0,74.4,0,30.8,0,-2.8,0,-1.2,0,-2,0,-7.8,0,73.2,0,29.5,0,0.7,0,-0.9,0,-3.2,0,2.5,0,38.3,0,-1.2,0,-10.7,0,-65.8,0,-4.7,0,2,0,8.7,0,1.6,0,0.6,0,9.7,0,-2.9,0,9,0
3,20.7,0,0.8,0,-6.3,0,0.6,0,-4.1,0,37.8,0,-9.7,0,-9.2,0,-62.9,0,1.2,0,12.6,0,4.9,0,23.6,0,0.9,0,3.8,0,4.8,0,-12.3,0,4,0,-16,0,-12.3,0,74.4,0,30.8,0,-2.9,0,-1.3,0,-2.1,0,-7.9,0,72.9,0,29.3,0,0.6,0,-1,0,-3.1,0,2.6,0,38.3,0,-1.1,0,-10.5,0,-65.8,0,-4.9,0,1.9,0,8.7,0,1.7,0,0.5,0,9.7,0,-2.7,0,9.1,0
4,21.9,0,1,0,-4.5,0,0.2,0,-6.9,0,37.5,0,-9.2,0,-8.1,0,-62.6,0,0.8,0,12.4,0,4.9,0,25,0,0.9,0,4.7,0,4.4,0,-13.9,0,4.4,0,-16.1,0,-12.3,0,74.4,0,30.7,0,-3,0,-1.4,0,-2.2,0,-8,0,72.5,0,28.9,0,0.5,0,-1.1,0,-3.1,0,2.7,0,38.1,0,-0.9,0,-10,0,-65.8,0,-5.2,0,1.8,0,8.7,0,1.9,0,0.3,0,9.7,0,-2.4,0,9,0
5,23,0,1.5,0,-3.2,0,0.2,0,-9.7,0,37.1,0,-8.6,0,-6.5,0,-62.2,0,0.4,0,12,0,5.1,0,26.4,0,1.1,0,5.7,0,4.4,0,-15.5,0,4.9,0,-16.2,0,-12.2,0,74.3,0,30.6,0,-3.1,0,-1.5,0,-2.3,0,-8.1,0,72.1,0,28.5,0,0.4,0,-1.3,0,-3,0,2.8,0,37.9,0,-0.6,0,-9.6,0,-65.7,0,-5.6,0,1.7,0,8.7,0,2.2,0,0.1,0,9.7,0,-2.1,0,8.8,0
6,24,0,2.1,0,-2.3,0,0.6,0,-12.1,0,36.6,0,-7.9,0,-4.7,0,-61.8,0,0,0,11.7,0,5.3,0,27.5,0,1.4,0,6.4,0,4.7,0,-16.9,0,5.2,0,-16.3,0,-12,0,74.1,0,30.5,0,-3.2,0,-1.5,0,-2.4,0,-8.2,0,71.6,0,28,0,0.3,0,-1.3,0,-2.9,0,2.8,0,37.5,0,-0.3,0,-9.1,0,-65.5,0,-6,0,1.5,0,8.7,0,2.5,0,0,0,9.7,0,-1.7,0,8.6,0
7,24.8,0,2.7,0,-1.8,0,1.2,0,-13.9,0,36,0,-7.2,0,-3.1,0,-61.5,0,-0.4,0,11.3,0,5.2,0,28.3,0,1.7,0,6.9,0,5.2,0,-17.9,0,5.3,0,-16.4,0,-11.8,0,73.8,0,30.2,0,-3.2,0,-1.6,0,-2.5,0,-8.3,0,71.2,0,27.5,0,0.2,0,-1.4,0,-2.9,0,2.9,0,36.9,0,0,0,-8.7,0,-65.2,0,-6.4,0,1.4,0,8.7,0,2.9,0,-0.1,0,9.6,0,-1.3,0,8.3,0
8,25.6,0,3.2,0,-1.6,0,2,0,-14.9,0,35.3,0,-6.4,0,-2,0,-61.2,0,-0.8,0,11,0,4.9,0,28.8,0,2,0,7.1,0,5.7,0,-18.5,0,5.2,0,-16.4,0,-11.7,0,73.5,0,29.9,0,-3.3,0,-1.7,0,-2.6,0,-8.3,0,70.9,0,27.2,0,0.2,0,-1.5,0,-2.9,0,2.8,0,36.2,0,0.4,0,-8.4,0,-64.8,0,-6.8,0,1.3,0,8.8,0,3.2,0,-0.2,0,9.6,0,-0.9,0,8.1,0
9,26.2,0,3.5,0,-1.5,0,2.9,0,-15.4,0,34.6,0,-5.7,0,-1.4,0,-61.1,0,-1.1,0,10.8,0,4.3,0,29,0,2.4,0,6.9,0,6.3,0,-18.7,0,5,0,-16.3,0,-11.5,0,73.1,0,29.5,0,-3.4,0,-1.8,0,-2.6,0,-8.4,0,70.7,0,27,0,0.1,0,-1.5,0,-2.9,0,2.8,0,35.4,0,0.7,0,-8,0,-64.4,0,-7.1,0,1.3,0,8.8,0,3.4,0,-0.3,0,9.6,0,-0.6,0,7.9,0
