Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
0,16.8,0,1.8,0,-10.5,0,5.9,0,-0.5,0,33,0,-7.9,0,-6.1,0,-36.3,0,2.3,0,11.4,0,8.8,0,19.9,0,1.6,0,1.5,0,6.6,0,-11.1,0,4.1,0,-11.3,0,-8.5,0,41.7,0,-2,0,-5.5,0,-3.8,0,0.6,0,-5.1,0,42.1,0,-1.6,0,2.2,0,0.6,0,-2.4,0,3.4,0,33.6,0,-3.3,0,-9.1,0,-38,0,-7.4,0,5.1,0,3.8,0,1.6,0,6.1,0,5.7,0,-1.2,0,8.8,0
1,18.2,0,1.5,0,-8.7,0,5.2,0,-1.4,0,32.9,0,-7.4,0,-6.8,0,-36.3,0,2,0,11.3,0,8.6,0,21.3,0,1.3,0,2.3,0,5.8,0,-11.8,0,4.2,0,-11.5,0,-8.2,0,41.7,0,-2,0,-5.6,0,-3.9,0,0.5,0,-5.3,0,42.1,0,-1.5,0,2.1,0,0.5,0,-2.4,0,3.4,0,33.5,0,-2.9,0,-9.4,0,-37.9,0,-7.7,0,5,0,3.9,0,1.8,0,6,0,5.7,0,-1,0,8.7,0
2,19.6,0,1.3,0,-6.7,0,4.6,0,-3.1,0,32.7,0,-6.8,0,-6.8,0,-36.5,0,1.7,0,11.2,0,8.6,0,22.8,0,1.2,0,3.2,0,5.3,0,-12.8,0,4.5,0,-11.5,0,-7.9,0,41.7,0,-2,0,-5.6,0,-4,0,0.3,0,-5.5,0,42.2,0,-1.4,0,2.1,0,0.4,0,-2.5,0,3.3,0,33.4,0,-2.5,0,-9.4,0,-37.9,0,-8,0,4.9,0,3.9,0,2,0,5.8,0,5.7,0,-0.7,0,8.5,0
3,20.8,0,1.5,0,-4.9,0,4.4,0,-5.5,0,32.3,0,-6.1,0,-6.2,0,-36.7,0,1.2,0,11.1,0,8.7,0,24.3,0,1.2,0,4,0,5.2,0,-14.1,0,5,0,-11.4,0,-7.7,0,41.5,0,-2.1,0,-5.7,0,-4.1,0,0.1,0,-5.7,0,42.2,0,-1.4,0,2,0,0.4,0,-2.6,0,3.2,0,33.2,0,-2,0,-9,0,-37.8,0,-8.3,0,4.9,0,4,0,2.3,0,5.5,0,5.6,0,-0.3,0,8.3,0
4,22,0,1.9,0,-3.6,0,4.5,0,-8.1,0,31.8,0,-5.4,0,-4.7,0,-36.7,0,0.7,0,10.9,0,8.8,0,25.7,0,1.4,0,4.8,0,5.4,0,-15.4,0,5.5,0,-11.3,0,-7.6,0,41.2,0,-2.4,0,-5.8,0,-4.1,0,-0.2,0,-5.9,0,42.1,0,-1.5,0,1.9,0,0.3,0,-2.7,0,3.1,0,33,0,-1.5,0,-8.2,0,-37.5,0,-8.7,0,4.8,0,4,0,2.6,0,5.3,0,5.5,0,0.1,0,8.1,0
5,22.9,0,2.6,0,-2.9,0,4.9,0,-10.6,0,31.2,0,-4.6,0,-2.9,0,-36.7,0,0.2,0,10.7,0,8.7,0,26.9,0,1.7,0,5.4,0,5.8,0,-16.8,0,5.9,0,-11.1,0,-7.6,0,40.8,0,-2.9,0,-5.8,0,-4.2,0,-0.4,0,-6.2,0,41.9,0,-1.8,0,1.8,0,0.2,0,-2.8,0,2.9,0,32.7,0,-1,0,-7.4,0,-37,0,-9.1,0,4.8,0,4.1,0,2.9,0,5,0,5.4,0,0.6,0,7.8,0
6,23.6,0,3.4,0,-2.6,0,5.4,0,-12.5,0,30.5,0,-3.8,0,-1.1,0,-36.5,0,-0.3,0,10.6,0,8.4,0,27.8,0,2.1,0,6,0,6.2,0,-17.9,0,6.1,0,-10.9,0,-7.6,0,40.2,0,-3.4,0,-5.9,0,-4.3,0,-0.7,0,-6.4,0,41.5,0,-2.1,0,1.7,0,0,0,-3,0,2.8,0,32.2,0,-0.5,0,-6.6,0,-36.3,0,-9.5,0,4.8,0,4.2,0,3.2,0,4.8,0,5.3,0,1,0,7.6,0
7,24.2,0,3.9,0,-2.6,0,6,0,-13.7,0,29.8,0,-3.1,0,0.1,0,-36.2,0,-0.8,0,10.5,0,7.9,0,28.5,0,2.5,0,6.3,0,6.7,0,-18.7,0,6,0,-10.8,0,-7.6,0,39.7,0,-4,0,-6.1,0,-4.4,0,-0.9,0,-6.6,0,41.2,0,-2.5,0,1.5,0,-0.1,0,-3.1,0,2.7,0,31.7,0,-0.1,0,-6,0,-35.7,0,-9.9,0,4.9,0,4.3,0,3.5,0,4.7,0,5.3,0,1.4,0,7.5,0
8,24.7,0,4.2,0,-2.7,0,6.6,0,-14.2,0,29.1,0,-2.4,0,0.8,0,-36.1,0,-1.2,0,10.5,0,7.2,0,28.9,0,2.8,0,6.4,0,7.2,0,-19.1,0,5.7,0,-10.6,0,-7.5,0,39.3,0,-4.4,0,-6.2,0,-4.6,0,-1,0,-6.8,0,41,0,-2.7,0,1.4,0,-0.2,0,-3.1,0,2.7,0,31.1,0,0.3,0,-5.5,0,-35.2,0,-10.3,0,5,0,4.4,0,3.7,0,4.7,0,5.3,0,1.7,0,7.5,0
9,25.1,0,4.3,0,-3,0,7.2,0,-14.1,0,28.4,0,-1.8,0,1,0,-36.1,0,-1.6,0,10.5,0,6.5,0,29.1,0,3.2,0,6,0,7.8,0,-19.2,0,5.3,0,-10.5,0,-7.4,0,39.1,0,-4.6,0,-6.3,0,-4.7,0,-1.1,0,-6.8,0,40.9,0,-2.7,0,1.3,0,-0.3,0,-3.1,0,2.7,0,30.4,0,0.6,0,-5.1,0,-34.8,0,-10.7,0,5.1,0,4.6,0,3.9,0,4.9,0,5.2,0,1.9,0,7.6,0
